Section Name,Description,Company Name,Text Information
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Auto-& Motorradteile in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Auto Motorrad Fahrzeuge in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Elektronik/Technik in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Elektronikzubehör in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Kleidung in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Lebensmittel und Getränke in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.","Verkaufsprovision Kategorie Medien(DVD,etc.) in %","Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Musikinstrumente in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Reifen & Felgen in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision Kategorie Schmuck in %,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren der angegebenen Kategorie ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision/ Umsatzbeteiligung (Kategorieunabhängig),"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren kategorieunabhängig ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Kostenfreier Testzeitraum,Bei vielen Tarifen ist ein unverbindlicher kostenfreier Test möglich.
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Spezifisches Angebot für Anbieter-Wechsler,Bei vielen Tarifen ist ein unverbindlicher kostenfreier Test möglich.
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Anzahl Gewerblicher Nutzer/ Kunden,"Falls der jeweilige Anbieter die Anzahl seiner gewerblichen Kunden veröffentlicht, werden diese hier genannt."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Firmensitz (Land) des Anbieters (rechtlich),"Falls der jeweilige Anbieter die Anzahl seiner gewerblichen Kunden veröffentlicht, werden diese hier genannt."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Rechtsform,Rechtsform des Anbieters
Rechtliche Aspekte (erweitert),"Hier finden Sie verschiedene Rechtliche Aspekte, über welche Sie die Tarife vergleichen können.",Abmahnschutz für Händler,"Wenn Sie als Händler z.B. nicht als Verkäufer, sondern nur Absender der Waren in Erscheinung treten, kann ein Abmahnschutz bestehen."
Rechtliche Aspekte (erweitert),"Hier finden Sie verschiedene Rechtliche Aspekte, über welche Sie die Tarife vergleichen können.",Eigene Rechtstexte verwendbar,"Gibt an, ob der Tarif es ermöglicht eigene AGB und Rechtstexte zu verwenden. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Rechtliche Aspekte (erweitert),"Hier finden Sie verschiedene Rechtliche Aspekte, über welche Sie die Tarife vergleichen können.",Energielabel-Verwaltung und rechtskonforme Darstellung für Elektrogeräte,"Grafische Auszeichnung durch einen farbigen Pfeil entsprechend des Energielabels. Verlinkung des Produktdatenblatt des Herstellers in unmittelbarer Nähe des Pfeils. Darstellung der Produktinformationen und des Pfeils in Nähe und gleichen Größe des Preises. Darstellung der Informationen an allen Stellen im Shop, wo der Artikel in den Warenkorb gelegt werden kann. Die Energieauszeichnung zählt außerdem zu den wesentlichen Eigenschaften eines Produktes und muss somit im Warenkorb selbst und auf der Übersichtsseite angegeben werden."
Rechtliche Aspekte (erweitert),"Hier finden Sie verschiedene Rechtliche Aspekte, über welche Sie die Tarife vergleichen können.",JANOLAW - Schnittstelle,Die janolaw AG ist mit über zehnjähriger Erfahrung einer der führenden Rechtsdienstleister im Internet. Für dauerhafte Rechtssicherheit sorgt der AGB-Service inklusive Abmahnschutz & Update-Service. Mit dem AGB Hosting-Service erhalten Sie dauerhaft abmahnsichere AGB & Co für Ihren Internetshop. Dank der optionalen Schnittstelle bleiben Ihre Rechtstexte immer automatisch aktuell.
Rechtliche Aspekte (erweitert),"Hier finden Sie verschiedene Rechtliche Aspekte, über welche Sie die Tarife vergleichen können.",Käuferschutz integriert,"Gibt an, ob der Tarif Maßnahmen zum Schutz des Käufers funktionsfertig beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Rechtliche Aspekte (erweitert),"Hier finden Sie verschiedene Rechtliche Aspekte, über welche Sie die Tarife vergleichen können.",Rechtliche Besonderheiten,"Gibt an, ob der Tarif erwähnenswerte rechtliche Besonderheiten aufweist."
Preisgestaltung - Features (erweitert),,Globale prozentuale Produktrabatte (für gesamtes Sortiment),
Preisgestaltung - Features (erweitert),,Preis Auf- oder Abschläge bei Varianten nach Gewicht,
Preisgestaltung - Features (erweitert),,Preisvorschlag durch Kunden (Preisvorschläge),"Gibt an, ob Sie es ermöglichen können, das Kunden Preisvorschläge zu Produkten abgeben."
Preisgestaltung - Features (erweitert),,Produkt-Mengenrabatte/ Staffelpreise definierbar,"Gibt an, ob der Tarif Funktionen zur Rabattierung von Großbestellungen beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Preisgestaltung - Features (erweitert),,Unterschiedliche Preise für Produktvarianten,"Gibt an, ob der Tarif Funktionen zur unterschiedlichen Bepreisung von Artikelvarianten (Größe, etc.) beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Preisgestaltung - Features (erweitert),,"Versandkosten je Produkt definierbar (Sperrgutzuschlag, Portoaufschlag, Übergröße, Volumen)","Gibt an, ob der Tarif einen Spergutzuschlagzuschlag ermöglicht. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Preisgestaltung - Features (erweitert),,Zeitlich beschränkte Sonderangebote (Happy Hour),"Gibt an, ob der Tarif zeitlich beschränkte Sonderangebote unterstützt."
Zahlung - Payment,,Automatische SEPA Lastschrift/ Bankeinzug direkt aus System,"Gibt an, ob der Tarif eine funktionsfertige Anbindung an den jeweiligen Zahlungsanbieter ohne Code-Anpassungen beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Zahlung - Payment,,Barzahlung/ Verrechnungsscheck,"Gibt an, ob der Tarif eine funktionsfertige Anbindung an den jeweiligen Zahlungsanbieter ohne Code-Anpassungen beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Zahlung - Payment,,Kundenkonto - Guthaben-Funktion/ Kundenguthaben,"Gibt an, ob der Tarif eine Kundenkontofunktionalität beinhaltet, über die der Kunde den fälligen Kaufbetrag begleichen kann. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Zahlung - Payment,,Länderspezifische Zahlungsarten,"Gibt an, ob Sie die Verwendung von bestimmten Zahlungsarten auf Bestellländer begrenzen können."
Zahlung - Payment,,Nachnahme (COD) (Nachname typo),"Gibt an, ob der Tarif eine funktionsfertige Anbindung an den jeweiligen Zahlungsanbieter ohne Code-Anpassungen beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Zahlung - Payment,,Ratenzahlung/ Ratenkauf/ Finanzierung,"Gibt an, ob der Tarif eine funktionsfertige Anbindung an den jeweiligen Zahlungsanbieter ohne Code-Anpassungen beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Zahlung - Payment,,Rechnung,"Gibt an, ob der Tarif die Zahlung via (manueller) Rechnung beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Zahlung - Payment,,Vorkasse/ Vorauskasse/ Überweisung,"Gibt an, ob der Tarif die Zahlung via (manueller) Vorkasse beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Zahlung - Payment,,Zahlungsabgleich von PayPalkonten,"Gibt an, ob der Tarif einen Zahlungsabgleich von paypal Konten (via paypal api) beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
