Section Name,Description,Company Name,Text Information
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Rowisoft,e-matters eCommerce Suite
Art der benötigten Lösung,"Hier können Sie wählen ob Sie einen bestimmten Typ an E-Commerce-Lösungen suchen. Bitte beachten Sie,
dass die Auswahl von mehr als einem ""MUSS""-Kriterium die Lösungs-Anzahl in der Vergleichsansicht sehr stark
reduziert.",Auf Dritt-Server installierbar,"Gibt an, ob die Software auch auf einem Anbieterfremden Sever installiert werden kann. (Kosten)"
Art der benötigten Lösung,"Hier können Sie wählen ob Sie einen bestimmten Typ an E-Commerce-Lösungen suchen. Bitte beachten Sie,
dass die Auswahl von mehr als einem ""MUSS""-Kriterium die Lösungs-Anzahl in der Vergleichsansicht sehr stark
reduziert.",Cloud E-Commerce Plattform,"Unter diesen Typ fallen Lösungen, die flexible App-Erweiterungen in der Cloud anbieten."
Art der benötigten Lösung,"Hier können Sie wählen ob Sie einen bestimmten Typ an E-Commerce-Lösungen suchen. Bitte beachten Sie,
dass die Auswahl von mehr als einem ""MUSS""-Kriterium die Lösungs-Anzahl in der Vergleichsansicht sehr stark
reduziert.",Kauflösung (Einmal Zahlung),"Unter den Typ Kauflösung fallen E-Commerce Lösungen, die Sie in der Regel per einmaliger Zahlung erwerben oder lizenzieren müssen."
Art der benötigten Lösung,"Hier können Sie wählen ob Sie einen bestimmten Typ an E-Commerce-Lösungen suchen. Bitte beachten Sie,
dass die Auswahl von mehr als einem ""MUSS""-Kriterium die Lösungs-Anzahl in der Vergleichsansicht sehr stark
reduziert.",Kostenlose Lösung (Freemium),"Unter diesen Typ fallen Lösungen, die Sie (meist in der Basisversion) komplett kostenfrei einsetzen können."
Art der benötigten Lösung,"Hier können Sie wählen ob Sie einen bestimmten Typ an E-Commerce-Lösungen suchen. Bitte beachten Sie,
dass die Auswahl von mehr als einem ""MUSS""-Kriterium die Lösungs-Anzahl in der Vergleichsansicht sehr stark
reduziert.",Mietlösung/ SaaS,"Unter diesen Typ fallen Lösungen, die Sie in der Regel von einem Anbieter gegen ein monatliches Mietentgelt erhalten. Da in der Praxis die beiden Begriffe zunehmend synonym verwendet werden, findet hier keine Unterscheidung statt."
Art der benötigten Lösung,"Hier können Sie wählen ob Sie einen bestimmten Typ an E-Commerce-Lösungen suchen. Bitte beachten Sie,
dass die Auswahl von mehr als einem ""MUSS""-Kriterium die Lösungs-Anzahl in der Vergleichsansicht sehr stark
reduziert.",Open Source - Lösung,"Unter den Typ Open Source fallen Lösungen, deren Quellcode offen liegt und dadurch selbst und unabhängig von dem Hersteller weiterentwickelt und angepasst werden kann. Dazu gehören auch kostenlose Community-Versionen von kostenpflichtigen Anbietern."
Art der Umsetzung,"Wählen Sie hier zwischen den verschiedenen Arten der Umsetzung und filtern Sie alle Lösungen nach der
gewünschten Umsetzungsart.",Out of the Box - fähig,Diese Art von Lösungen kann innerhalb kürzester Zeit ohne Agentur oder Projektaufwand umgesetzt werden.
Art der Umsetzung,"Wählen Sie hier zwischen den verschiedenen Arten der Umsetzung und filtern Sie alle Lösungen nach der
gewünschten Umsetzungsart.",Projektbasierte Umsetzung notwendig/ sinnvoll,"Gibt an, ob die E-Commerce Lösung einer längeren Phase der Implementierung und Anpassung bedarf. (Meist bei umfangreichen und größeren E-Commerce Lösungen)"
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Software-Updates/ Versions-Upgrades enthalten (Kosten),"Gibt an, ob im Tarif Updates enthalten sind oder ob diese kostenpflichtig sind. Zahlen bedeuten Kosten pro Monat."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Einrichtungsgebühr / Setup/ Startgebühr,"Gibt an, ob im Tarif Updates enthalten sind oder ob diese kostenpflichtig sind. Zahlen bedeuten Kosten pro Monat."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Fixgebühr je verkauftem Artikel/ Auftrag,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren ein fixer Betrag je verkauftem Artikel (unabhängig vom Artikelpreis) anfällt."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Gebühren Multichannel Funkion,"Gibt an, ob beim Tarif zur Nutzung der Multichanel-Anbindung weitere Gebühren anfallen. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Grundgebühr pro Monat (Subscription),"Gibt an, ob und in welcher Höhe beim Tarif eine monatliche Grundgebühr anfällt. Der hier genannten Betrag ist ein minimal-Betrag, der sich z.B. bei modularen Leistungserweiterungen erhöhen kann."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Kaufpreis/ einmaliger Lizenzpreis,Einmaliger Kaufpreis der Software bzw. Nutzungslizenz
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Mindestvertragslaufzeit (in Monaten),"Gibt an, ob und auf wieviele Monate sich bei der Nutzung des Tarifs die Mindestvertragslaufzeit beläuft."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Verkaufsprovision/ Umsatzbeteiligung (Kategorieunabhängig),"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren kategorieunabhängig ein prozentualer Betrag des Brutto-Verkaufspreises (=Bestellwert) je verkauftem Artikel als Gebühr anfällt. Beachten Sie bitte, dass die Provisionshöhe auf den Netto-Verkaufspreis größer ist."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Aktuelle Aktionen - Link (falls vorhanden),"Hier finden Sie, falls ein Rabattaktion vorhanden ist, den Direktlink."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Als Whitelabel Lösung für Agenturen/ Reseller einsetzbar,"Gibt an, ob der Anbieter die Software als Whitelabel-Lösung anbietet."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Durch Extensions zu Dritt-Dienstleistern erweiterbar (Anzahl Module/ Apps/ Plugins),"Gibt an, ob zur Funktionserweiterung des Shop-Tarifs ein Plugin-Store existiert. Zahlen entsprechen der Anzahl verfügbarer Extensions/Erweiterungen."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",GDPdU testiert,Grundsätze zum Datenzugriff und zur Prüfbarkeit digitaler Unterlagen
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Individuelle Programmanpassungen an Unternehmensanforderungen,"Gibt an, ob ein bestimmtes Kontigent (Mann-Stunden) für die Entwicklung oder Implementierung von Sonderwünschen enthalten sind."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Kostenfreier Testzeitraum,Bei vielen Tarifen ist ein unverbindlicher kostenfreier Test möglich.
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Software-Anbieter ist gleichzeitg Generalunternehmer des E-Commerce Projekts,Die notwendige Absprache und Implementierung von Drittanbieter-Services übernimmt der E-Commerce Solutions Anbieter selbst.
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Spezialisierung des Anbieters auf bestimmte Warengruppe/ Branche,"Gibt an, ob der Tarif für den Vertrieb von bestimmten Warengruppen(z.B. Apothekenartikeln) spezialisiert ist."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Testimonials - Link,Hier finden Sie einen Direkt-Link zur Testimonials/ Anwenderfeedback.
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Anzahl Gewerblicher Nutzer/ Kunden,"Falls der jeweilige Anbieter die Anzahl seiner gewerblichen Kunden veröffentlicht, werden diese hier genannt."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Besonderheiten,"Gibt an, ob der Tarif ein besonderes Alleinstellungsmerkmal oder eine Besonderheit aufweist."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Firmensitz (Land) des Anbieters (rechtlich),"Gibt an, ob der Tarif ein besonderes Alleinstellungsmerkmal oder eine Besonderheit aufweist."
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Rechtsform,Rechtsform des Anbieters
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Referenzen,Rechtsform des Anbieters
Informationen zum Tarif & Anbieter,"Diese Gruppe beinhaltet Vergleichskriterien, die Aufschluss über grundlegende Eigenschaften zum jeweiligen Anbieter
und Tarif geben.",Referenzen - Link,Hier finden Sie einen Direkt-Link zur Referenz-Webseite des jeweiligen Tarifs.
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Detaillierte FAQ,"Gibt an, ob die Leistungen und Einstellungen durch eine umfangreiche FAQ Sammlung unterstützt werden."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Dokumentation/ Anleitung/ Handbuch vorhanden,"Gibt an, ob die Leistungen und Einstellungen durch eine umfangreiche FAQ Sammlung unterstützt werden."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",E-Commerce Weiterbildung und individuelle Beratung enthalten,"Gibt an, ob der Tarif Weiterbildungen und strategische Wissensvermittlung für Shopbetreiber enthält oder anbietet."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Individueller Support via Email/ Ticket,Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat.
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Offizielles Forum (Art),Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat.
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Persönlicher Ansprechpartner,"Gibt an, ob der Tarif eine persönlichen Ansprechpartner beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Persönlicher Support via Chat,"Gibt an, ob der Tarif eine persönlichen Ansprechpartner beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Setup-Hilfe für Einsteiger direkt im System,"Gibt an, ob der Tarif implementierte Guides oder ""was muss noch gemacht werden"" Schritte enthält um so Einsteiger zum perfekten Shop zu führen."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Support via Knowledge base/ Tutorials,"Gibt an, ob der Tarif Tutorials oder eine Knowledge Base zum Wissenstransfer beinhaltet."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Support via Social Media (Facebook etc.),"Gibt an, ob der Tarif Tutorials oder eine Knowledge Base zum Wissenstransfer beinhaltet."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Support via Telefon,"Gibt an, ob der Tarif Support via Telefon beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Support via Vor-Ort-Schulung,"Gibt an, ob der Tarif eine Vor-Ort-Schulung beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Support via Webinar,"Gibt an, ob Webinare im Shop-Tarif enthalten sind."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Support via Wiki,"Gibt an, ob Webinare im Shop-Tarif enthalten sind."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Technischer 24/7-Echtzeit-Support,"Gibt an, ob der Tarif ein 24h Support beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Supportleistungen & Beratung durch Anbieter (erweitert),"Diese Gruppe gibt Aufschluss über die im jeweiligen Tarif enthaltenen Supportleistungen. Zahlen bedeuten
Zusatzkosten pro Monat.",Technischer Support/ Service/ Wartung,"Gibt an, ob der Tarif allgemein technischen Support beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Artikel - Features (erweitert),,Artikel nur von bestimmten Kunden bestellbar - Artikelattribut,"Gibt an, ob der sichtbare Artikel durch Kunden bestellt werden kann oder nicht."
Artikel - Features (erweitert),,Artikel von Werbemaßnahmen/ Rabatten ausschließbar,"Gibt an, ob Sie bei generellen Preisaktionen bestimmte Artikel ausschließen können."
Artikel - Features (erweitert),,Artikelattribut Dropship-Artikel/ Direktlieferungen inkl. Standardlieferant,"Gibt an, ob Sie bei generellen Preisaktionen bestimmte Artikel ausschließen können."
Artikel - Features (erweitert),,Artikelvorlagen/ vordefinierte Produkttypen,"Gibt an, ob Sie bei generellen Preisaktionen bestimmte Artikel ausschließen können."
Artikel - Features (erweitert),,Attribut Verpackungseinheiten (VE/ VPE/ Gebindegröße),"Gibt an, ob ein Produkt in unterschiedlichen Verpackungseinheiten/ Gebindegrößen (Karton, Palette, Einzelstück) angeboten/ verwaltet werden kann, ohne dass ein separater Artikel angelegt werden muss. Im Unterschied zu einer Verpackungseinheit (z.b. Karton) ist ein Gebinde z.B. durch einen eigenständigen EAN Code gekennzeichnet."
Artikel - Features (erweitert),,Auftragsfertigungs-Prozesse abbildbar (Individualisierte Produkte),"Bieten Sie Ihren Käufern Artikel an, die Sie erst noch für Sie herstellen."
Artikel - Features (erweitert),,Automatische Bildgrößenskalierung (Harmonisierung),"Gibt an, ob der Tarif eine automatische Skalierung/ Vereinheitlichung von Produktbildern beinhaltet. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Artikel - Features (erweitert),,Automatisches Einfügen von Wasserzeichen in Bilder,"Gibt an, ob der Tarif automatisch ein Wasserzeichen zur identifizierung in alle Bilder integrieren kann."
Artikel - Features (erweitert),,"Dateianhänge für Kunden (pdf Dokumente, Handbuch, etc.) aus System möglich (Anhangsressourcen)","Dieses Feature ermöglicht es, Downloads(z.B. Handbücher) ergänzend zu Artikeln zu verwalten und anzubieten. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Artikel - Features (erweitert),,Default-Variante definierbar (Variantenpriorität),Ermöglicht unterschiedliches Handling und Darstellung von Varianten. Z.B. kann eine Variante als Standard eingestellt werden.
Artikel - Features (erweitert),,"Download- Artikel (ESD) möglich (Digitale, virtuelle Produkte)","ESD = Electronic Software Distribution und gibt Aufschluss darüber, ob der Shoptarif den Verkauf von Download-Artikel ermöglicht."
Artikel - Features (erweitert),,Eigene Artikelattribute/ Artikelfelder/ Eigenschaften definierbar (Anzahl),"Dieses Feature ermöglicht es, Artikelattribute je Artikel zu definieren, zu verwalten und dem Kunden beim Kaufprozess anzubieten. (Beispiel Displaygröße) Etwaige angegebene Werte = max. Anzahl."
Artikel - Features (erweitert),,Globale Varianten definierbar für Produkte oder Kategorien,"Globale Varianten sind Varianten wie Farbe, Gewicht, etc. die für alle Artikel global nur einmal definiert werden müssen."
Artikel - Features (erweitert),,Gratis-Zugaben/ Prämienartikel/ kostenfreie Beigaben/ Natural Rabatte,"Gibt an, ob ab einem bestimmten Warenkorbwert automatisch bestimmte Gratis-Artikel hinzugefügt werden können."
Artikel - Features (erweitert),,Grundpreis-Angabe - Funktion (Preis pro Maßeinheit),"Gibt an, ob ab einem bestimmten Warenkorbwert automatisch bestimmte Gratis-Artikel hinzugefügt werden können."
Artikel - Features (erweitert),,Grundpreis-Berechnung (Automatisch),"Gibt an, ob der Tarif die automatische Berechnung des in manchen Laendern vorgeschriebenen Grundpreises ermoeglicht."
Artikel - Features (erweitert),,ISBN Code - Artikelattribut und Verwaltung,"Gibt an, ob der Tarif die automatische Berechnung des in manchen Laendern vorgeschriebenen Grundpreises ermoeglicht."
Artikel - Features (erweitert),,Kategoriezuordnung mit Sortimentsfilter,"Gibt an, ob Sie Artikel nach Artikelattributen (z.B. Preis kleiner als 20 Euro) gruppiert in einer Kategorie darstellen können."
Artikel - Features (erweitert),,Kundenspezifische Downloads,"Gibt an ob je Artikel für unterschiedliche Kunden unterschiedliche Downloads (Software, Manuals) definiert werden können."
Artikel - Features (erweitert),,Kundenspezifische Produktsortimente / Katalogzugriffs-Berechtigungen,"Gibt an ob je Artikel für unterschiedliche Kunden unterschiedliche Downloads (Software, Manuals) definiert werden können."
Artikel - Features (erweitert),,Länderspezifische Verfügbarkeit je Artikel /Lieferländer begrenzen (Blacklist),"Gibt an, ob der Versand je Artikel auf bestimmte Ländern eingeschränkt werden kann."
Artikel - Features (erweitert),,Marken-/ Herstellerverzeichnis (MPN) enthalten,"Gibt an, ob der Versand je Artikel auf bestimmte Ländern eingeschränkt werden kann."
Artikel - Features (erweitert),,Maximale Bestellmenge je Artikel definierbar,"Gibt an, ob der Versand je Artikel auf bestimmte Ländern eingeschränkt werden kann."
Artikel - Features (erweitert),,Maximaler Bestellwert definierbar,"Gibt an, ob der Versand je Artikel auf bestimmte Ländern eingeschränkt werden kann."
Artikel - Features (erweitert),,Mehrere Dateien je Digitalprodukt möglich (Anzahl),"Gibt an wieviele Dateien zum Download eines Download-, bzw. Digitalen-Artikels hinterlegt werden können."
Artikel - Features (erweitert),,Mehrfachzuordnung eines Artikel zu mehreren Kategorien ohne dass zwei URLs entstehen,"Gibt an, ob der Tarif eine Zuorndung eines Artikels in unterschiedliche Kategorien ermöglicht ohne dass zwei URLs mit identischer Produktbeschreibung entstehen. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Artikel - Features (erweitert),,Mindestbestellwert definierbar,"Gibt an, ob der Tarif die Definition eines Mindestbestellwerts im Warenausgang ermöglicht. Etwaige angegebene Werte entsprechen Zusatzkosten pro Monat."
Artikel - Features (erweitert),,Multidimensionale Artikelvarianten (Anzahl) - Multivarianten,"Gibt an, ob und welche Gesamtanzahl an multidimensionalen Artikelvarianten (z.B. Kleid in Blau, Größe 38, Muster X,etc.) je Artikel unterstützt werden."
Artikel - Features (erweitert),,Produktunterkategorien erstellbar,"Gibt an, ob und welche Gesamtanzahl an multidimensionalen Artikelvarianten (z.B. Kleid in Blau, Größe 38, Muster X,etc.) je Artikel unterstützt werden."
Artikel - Features (erweitert),,UPC Codes - Artikelattribut und Verwaltung,"Gibt an, ob und welche Gesamtanzahl an multidimensionalen Artikelvarianten (z.B. Kleid in Blau, Größe 38, Muster X,etc.) je Artikel unterstützt werden."
Artikel - Features (erweitert),,Vorbestellung von Artikeln möglich,"Gibt an, ob und welche Gesamtanzahl an multidimensionalen Artikelvarianten (z.B. Kleid in Blau, Größe 38, Muster X,etc.) je Artikel unterstützt werden."
Artikel - Features (erweitert),,"Wiederkehrende Bestellungen/ Abonnements/ Abos veräußerbar (Automatisch wiederkehrende Bestellauslösung + Terminierung, Produkt-Abonnements, Scheduling, Subscriptions)","Gibt an, ob der Tarif den Verkauf Abonnements-Artikeln ermöglicht. Auswahl des Zeitraums für das Abonnement anstelle des Mengenfeldes."
Artikel - Features (erweitert),,Maximal mögliche Produktanzahl/ Artikelanzahl (SKUs) je Tarif,"Gibt an, ob der Tarif eine unbegrenzte Anzahl an Artikeln beinhaltet. Etwaige angegebene Werte entsprechen der maximalen Anzahl an Artikeln."
Artikel - Features (erweitert),,Maximale Anzahl Warengruppen/ Produkt-Kategorien,"Gibt an, ob der Tarif eine unbegrenzte Anzahl an Warengruppen ermöglicht. Etwaige angegebene Werte entsprechen der maximalen Anzahl an Kategorien."
Kunden - Usability (erweitert),"Hier finden Sie die Kriterien, die Einfluss auf Benutzerfreundlichkeit des Tarifs haben.",Artikelkatalog/ Preislisten als PDF-exportierbar,
Kunden - Usability (erweitert),"Hier finden Sie die Kriterien, die Einfluss auf Benutzerfreundlichkeit des Tarifs haben.",BezahlCode.de - Automischer QR-Code Zahlungslink auf Dokumenten,
Kunden - Usability (erweitert),"Hier finden Sie die Kriterien, die Einfluss auf Benutzerfreundlichkeit des Tarifs haben.",Direktbestellformular/ Bestellliste/ Schnellbestellung mit Artikelnummern,"Gibt an, ob der Tarif Bestellungen via Bestellformular (Eingabe von Artikelnnummern) ermöglicht."
Kunden - Usability (erweitert),"Hier finden Sie die Kriterien, die Einfluss auf Benutzerfreundlichkeit des Tarifs haben.",E-Mail bei Wiederverfügbarkeit eines Produkts (Benachrichtigung),"Gibt an, ob Interessenten sich bei Eingabe Ihrer E-Mail-Adresse über die Wiederverfügbarkeit von Artikeln wieder informieren lassen können."
